time[s],wave[m],surge[m],sway[m],heave[m],roll[deg],pitch[deg],yaw[deg]
12.127,-3.78897,0.296025,0.741164,-2.461711,-0.217992,-0.72692,0.842853
12.207,-3.837421,0.258208,0.709834,-2.503048,-0.224514,-0.659959,0.860111
12.286,-3.882271,0.220662,0.678341,-2.541915,-0.230778,-0.59332,0.876482
12.365,-3.924111,0.182945,0.646322,-2.57881,-0.236864,-0.52622,0.892173
12.444,-3.962907,0.145086,0.613802,-2.613706,-0.242766,-0.458713,0.907172
12.523,-3.99863,0.107115,0.580806,-2.646575,-0.24848,-0.390849,0.921468
12.602,-4.031252,0.06906,0.547359,-2.677391,-0.254001,-0.322683,0.935049
12.681,-4.060747,0.030952,0.513488,-2.706131,-0.259325,-0.254266,0.947904
12.76,-4.087094,-0.00718,0.479219,-2.732772,-0.264448,-0.185652,0.960025
12.84,-4.110544,-0.045789,0.444138,-2.757591,-0.269427,-0.116023,0.971541
12.919,-4.130492,-0.08388,0.409148,-2.779947,-0.274133,-0.047174,0.982154
12.998,-4.147238,-0.121906,0.373841,-2.800147,-0.278627,0.021712,0.992006
13.077,-4.160767,-0.159837,0.338243,-2.818176,-0.282904,0.090581,1.001088
13.156,-4.17107,-0.197644,0.302384,-2.834019,-0.286963,0.15938,1.009394
13.235,-4.178137,-0.235298,0.26629,-2.847665,-0.290798,0.228055,1.016917
13.314,-4.181965,-0.272769,0.22999,-2.859102,-0.294409,0.296553,1.023652
13.393,-4.182549,-0.310029,0.193511,-2.868322,-0.29779,0.364822,1.029592
13.473,-4.179835,-0.347516,0.156418,-2.875391,-0.30098,0.433666,1.034794
13.552,-4.173893,-0.384262,0.119666,-2.880129,-0.303894,0.501311,1.039124
13.631,-4.164714,-0.420711,0.082821,-2.882632,-0.306573,0.568567,1.042648
13.71,-4.152306,-0.456834,0.045912,-2.8829,-0.309014,0.635383,1.045363
13.789,-4.136677,-0.492602,0.008968,-2.880933,-0.311216,0.701705,1.047267
13.868,-4.11784,-0.527988,-0.027984,-2.876731,-0.313176,0.767484,1.048359
13.947,-4.095809,-0.562965,-0.064914,-2.870298,-0.314893,0.832667,1.048639
14.026,-4.070602,-0.597505,-0.101793,-2.861639,-0.316366,0.897205,1.048104
14.106,-4.04186,-0.63201,-0.139059,-2.850609,-0.317608,0.96185,1.046735
14.185,-4.010322,-0.66559,-0.17575,-2.837492,-0.318586,1.024937,1.044566
14.264,-3.975673,-0.698655,-0.212305,-2.822175,-0.319317,1.087229,1.041587
14.343,-3.937942,-0.731177,-0.248696,-2.804669,-0.319801,1.148678,1.037801
14.422,-3.897157,-0.763133,-0.284893,-2.784988,-0.320036,1.209236,1.033209
14.501,-3.853349,-0.794496,-0.32087,-2.763147,-0.320024,1.268856,1.027816
14.58,-3.806553,-0.825244,-0.356598,-2.739163,-0.319763,1.327492,1.021626
14.659,-3.756805,-0.855352,-0.392049,-2.713055,-0.319254,1.385098,1.014644
14.739,-3.703459,-0.885164,-0.427639,-2.684472,-0.318486,1.442339,1.006771
14.818,-3.647888,-0.913913,-0.462451,-2.654152,-0.31748,1.497739,0.998211
14.897,-3.589489,-0.941954,-0.496904,-2.621773,-0.316227,1.551978,0.988878
14.976,-3.528306,-0.969264,-0.530971,-2.587361,-0.314729,1.605013,0.978777
15.055,-3.464387,-0.995822,-0.564627,-2.550942,-0.312987,1.656803,0.967917
15.15,-3.383969,-1.026735,-0.604517,-2.504531,-0.310571,1.717377,0.953864
15.229,-3.3142,-1.051565,-0.637175,-2.463794,-0.308296,1.766285,0.941363
15.308,-3.241862,-1.075581,-0.669338,-2.421147,-0.305783,1.813824,0.928131
15.387,-3.167009,-1.098762,-0.700982,-2.376623,-0.303032,1.859956,0.91418
15.466,-3.089701,-1.121091,-0.732082,-2.330255,-0.300046,1.904645,0.89952
15.545,-3.009996,-1.142551,-0.762615,-2.28208,-0.296827,1.947858,0.884163
15.625,-2.926904,-1.163379,-0.792931,-2.231492,-0.293334,1.990078,0.867912
15.704,-2.842566,-1.183039,-0.82225,-2.179794,-0.289654,2.030217,0.851187
15.783,-2.756023,-1.201782,-0.850931,-2.126406,-0.285751,2.068781,0.833802
15.862,-2.667343,-1.219592,-0.878952,-2.071369,-0.281625,2.105742,0.81577
15.941,-2.576595,-1.236457,-0.906292,-2.014726,-0.277282,2.141069,0.797106
16.02,-2.483848,-1.252363,-0.932928,-1.95652,-0.272723,2.174736,0.777823
16.099,-2.389175,-1.267297,-0.958841,-1.896797,-0.267952,2.206716,0.757937
16.178,-2.292649,-1.281249,-0.984011,-1.835603,-0.262974,2.236985,0.737464
16.258,-2.19309,-1.294365,-1.008721,-1.772183,-0.257725,2.265869,0.716148
16.337,-2.093063,-1.306307,-1.032336,-1.708174,-0.252341,2.292623,0.69454
16.416,-1.991414,-1.317235,-1.055149,-1.642839,-0.246761,2.3176,0.672393
16.495,-1.888219,-1.327143,-1.077145,-1.57623,-0.240989,2.34078,0.649725
16.574,-1.783561,-1.336021,-1.098305,-1.508399,-0.235031,2.362144,0.626553
16.653,-1.677519,-1.343862,-1.118613,-1.439399,-0.22889,2.381676,0.602895
16.732,-1.570176,-1.350662,-1.138054,-1.369282,-0.222572,2.399361,0.57877
16.811,-1.461616,-1.356414,-1.156612,-1.298103,-0.216081,2.415185,0.554196
16.891,-1.350527,-1.361167,-1.174491,-1.224997,-0.209337,2.429301,0.528872
16.97,-1.239771,-1.364798,-1.19123,-1.151849,-0.202514,2.441345,0.503453
17.049,-1.128055,-1.367371,-1.207045,-1.077807,-0.195535,2.451495,0.477643
17.128,-1.015464,-1.368883,-1.221924,-1.00293,-0.188403,2.459744,0.451462
17.207,-0.902085,-1.369334,-1.235856,-0.927275,-0.181125,2.466086,0.424932
17.286,-0.788006,-1.368723,-1.248829,-0.850901,-0.173707,2.470515,0.398072
17.365,-0.673317,-1.36705,-1.260833,-0.773867,-0.166154,2.473028,0.370903
17.444,-0.558105,-1.364318,-1.27186,-0.696233,-0.158473,2.473623,0.343446
