time series,wave[m],ship_speed_kn,surge[m],sway[m],heave[m],roll[deg],pitch[deg],yaw[deg]
20.464,-0.268036,2,-0.000033,-0.000329,-0.000217,0.001256,-0.001635,-0.000469
20.637,-0.314963,2,-0.000079,-0.000099,-0.000171,-0.000277,-0.001242,-0.000099
20.841,-0.148542,2,-0.000121,0.000329,0.000165,-0.002122,-0.00007,0.000571
21.029,-0.072508,2,-0.00013,0.000568,0.000725,-0.003199,0.002009,0.000943
21.202,0.001469,2,-0.00011,0.000537,0.001279,-0.002996,0.004317,0.000866
21.375,0.048641,2,-0.000067,0.000339,0.001712,-0.001466,0.006243,0.000493
21.564,0.094522,2,-0.000004,0.000047,0.001767,0.000848,0.006775,-0.000016
21.752,0.104255,2,0.000059,-0.000229,0.00098,0.002334,0.004467,-0.000451
21.941,0.231433,2,0.000105,-0.000398,-0.000442,0.002239,0.000083,-0.000689
22.114,0.27077,2,0.000128,-0.000424,-0.001454,0.001264,-0.00313,-0.000677
22.302,0.019386,2,0.000134,-0.000342,-0.001839,0.000378,-0.004478,-0.000485
22.475,-0.154509,2,0.000117,-0.000204,-0.002002,0.000202,-0.005187,-0.000257
22.663,-0.143273,2,0.000069,-0.00005,-0.002174,0.000344,-0.006169,-0.000051
22.852,0.072381,2,0.000007,0.000053,-0.001774,0.000247,-0.005613,0.000083
23.025,0.109659,2,-0.000038,0.000158,-0.000764,-0.000269,-0.002974,0.000247
23.198,-0.020571,2,-0.000065,0.000345,0.000375,-0.001138,0.000398,0.000556
23.371,-0.116561,2,-0.000077,0.000517,0.0013,-0.002033,0.003181,0.000847
23.559,-0.123163,2,-0.000081,0.000464,0.002047,-0.002393,0.005101,0.000766
23.716,-0.242439,2,-0.000083,0.000213,0.002382,-0.001846,0.005652,0.000343
23.92,-0.031472,2,-0.000085,-0.000164,0.002181,-0.000051,0.004709,-0.000288
24.093,0.043559,2,-0.000081,-0.000386,0.001452,0.001885,0.002762,-0.000651
24.282,0.072519,2,-0.000062,-0.000522,0.000349,0.003376,0.000172,-0.000868
24.455,0.024311,2,-0.000028,-0.000528,-0.000618,0.003305,-0.002011,-0.00086
24.628,-0.023141,2,0.000016,-0.000348,-0.001292,0.001827,-0.003538,-0.000547
24.832,-0.083931,2,0.000066,0.000064,-0.001582,-0.0006,-0.004098,0.000118
25.02,0.090411,2,0.000095,0.000409,-0.001371,-0.00227,-0.003215,0.000664
25.224,0.232275,2,0.000105,0.000498,-0.000716,-0.002739,-0.000974,0.000813
25.428,0.230225,2,0.000096,0.000298,0.000008,-0.00178,0.001312,0.000464
25.617,0.043875,2,0.000073,0.000053,0.000337,-0.000248,0.002201,0.00004
25.805,-0.007495,2,0.000036,-0.000075,0.000319,0.000944,0.001904,-0.000144
26.025,-0.074508,2,-0.000012,-0.000072,0.000196,0.00104,0.001247,-0.000094
26.245,-0.027552,2,-0.000045,-0.000079,0.00013,0.000048,0.000946,-0.000078
26.418,-0.199049,2,-0.000058,-0.000126,0.000022,-0.000419,0.000545,-0.000129
26.591,-0.162531,2,-0.000069,-0.000147,-0.000153,0.000009,-0.000297,-0.000171
26.779,0.040935,2,-0.000076,-0.000157,-0.000245,0.001043,-0.00119,-0.00025
26.952,0.062943,2,-0.000066,-0.000225,-0.000112,0.001696,-0.001308,-0.000413
27.141,-0.047332,2,-0.000039,-0.000266,0.000207,0.001578,-0.000642,-0.000509
27.329,-0.00641,2,-0.000011,-0.000059,0.00056,0.000529,0.000257,-0.000187
27.502,-0.004765,2,0.000008,0.000302,0.000749,-0.001034,0.000701,0.000423
27.675,0.066854,2,0.000022,0.000556,0.000569,-0.002507,0.000231,0.000893
27.848,-0.040654,2,0.000031,0.000534,-0.000001,-0.003078,-0.001079,0.000911
28.021,-0.036779,2,0.000033,0.000308,-0.000541,-0.002355,-0.002109,0.000568
28.209,0.001334,2,0.00003,-0.000008,-0.000588,-0.000352,-0.001687,0.000058
28.382,0.036777,2,0.000028,-0.000295,-0.000205,0.001827,-0.000226,-0.000437
28.57,0.103778,2,0.000022,-0.000543,0.000227,0.003303,0.001182,-0.000891
28.775,0.195205,2,0.00001,-0.000575,0.000343,0.002864,0.00149,-0.000964
28.947,0.136082,2,-0.000001,-0.000322,0.000083,0.001196,0.00074,-0.000542
29.12,0.045243,2,-0.00001,0.000083,-0.000302,-0.000712,-0.000186,0.000127
29.293,-0.086446,2,-0.000016,0.0004,-0.000431,-0.002058,-0.000229,0.000655
29.466,-0.152584,2,-0.000017,0.00048,-0.000155,-0.002421,0.000855,0.000788
29.639,-0.210653,2,-0.000013,0.000365,0.00031,-0.001773,0.002315,0.00058
29.812,-0.212163,2,-0.000004,0.000174,0.000671,-0.000522,0.003388,0.000251
30.016,-0.100866,2,0.000012,-0.000051,0.000639,0.000774,0.003362,-0.000087
30.22,-0.112232,2,0.000025,-0.000177,-0.000106,0.00102,0.001093,-0.000265
30.424,0.183638,2,0.000028,-0.000153,-0.001037,0.000322,-0.002405,-0.000233
30.613,0.250512,2,0.000028,-0.000088,-0.001326,-0.000235,-0.004587,-0.000138
30.801,0.023107,2,0.000026,-0.000065,-0.001133,-0.000061,-0.005376,-0.000117
31.005,-0.064931,2,0.000008,-0.000079,-0.000825,0.000672,-0.005399,-0.00015
31.225,-0.087187,2,-0.000035,-0.00013,-0.000181,0.001303,-0.003833,-0.000224
31.398,0.028938,2,-0.000069,-0.000163,0.000608,0.001273,-0.001402,-0.000273
31.571,0.089871,2,-0.000089,-0.000089,0.001302,0.000564,0.00111,-0.000152
31.744,0.11429,2,-0.000088,0.000112,0.001724,-0.000691,0.003302,0.000192
31.917,0.069577,2,-0.000066,0.000321,0.001947,-0.001983,0.005396,0.000553
32.121,-0.044626,2,-0.00002,0.000408,0.001938,-0.002782,0.007261,0.000713
